"cnumber","pname","van0","title","fips","county","city","tn","date","month","year","state"
"fsa1998021893/PP","Lange","People As Such","Preschool children in nursery school under supervision of trained teachers. Kern",6029,"Kern","","thumb/0500/0506/8b29871_150px.jpg","1936-11",11,1936,"California"
"fsa1998021894/PP","Lange","Homes and Living Conditions","Migrant camp on the outskirts of Sacramento, California on the American River. A",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29872_150px.jpg","1936-11",11,1936,"California"
"fsa1998021896/PP","Lange","People As Such","Part of migrant family of five encamped near Porterville, California, while wait",6107,"Tulare","Porterville","thumb/0500/0506/8b29874_150px.jpg","1936-11",11,1936,"California"
"fsa1998021900/PP","Lange","Homes and Living Conditions","Wife and five children of migratory fruit worker. American River camp on outskir",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29877_150px.jpg","1936-11",11,1936,"California"
"fsa1998021902/PP","Lange","People As Such","Daughter of a migrant fruit worker. American River camp outside of Sacramento, C",6067,"Sacramento","Sacramento","thumb/0500/0506/8b38519_150px.jpg","1936-11",11,1936,"California"
"fsa1998021903/PP","Lange","People As Such","Destitute family. American River camp, Sacramento, California. Five children, ag",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29879_150px.jpg","1936-11",11,1936,"California"
"fsa1998021904/PP","Lange","Homes and Living Conditions","Destitute family. American River camp, Sacramento, California",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29880_150px.jpg","1936-11",11,1936,"California"
"fsa1998021905/PP","Lange","Homes and Living Conditions","Destitute family. American River camp. Five children aged two to seventeen. Near",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29881_150px.jpg","1936-11",11,1936,"California"
"fsa1998021908/PP","Lange","Homes and Living Conditions","Sanitary facilities for migratory workers. Ditch bank camp. Squatters near Arvin",6029,"Kern","Arvin","thumb/0500/0506/8b38521_150px.jpg","1936-11",11,1936,"California"
"fsa1998021909/PP","Lange","Homes and Living Conditions","Dirty clothes and flies. American River camp, near Sacramento, California",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29883_150px.jpg","1936-11",11,1936,"California"
"fsa1998021910/PP","Lange","Homes and Living Conditions","Food supply of migrant family. American River camp near Sacramento, California",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29884_150px.jpg","1936-11",11,1936,"California"
"fsa1998021911/PP","Lange","People As Such","Boy, fourteen, in eighth grade. Now unable to attend because of insufficient foo",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29885_150px.jpg","1936-11",11,1936,"California"
"fsa1998021912/PP","Lange","Work","Grapes grown in Kern County, California",6029,"Kern","","thumb/0500/0506/8b29886_150px.jpg","1936-11",11,1936,"California"
"fsa1998021913/PP","Lange","Work","Harvesting grapes near La Monte. Kern County, California. Lithuanian contract la",6029,"Kern","La Monte","thumb/0500/0506/8b29887_150px.jpg","1936-11",11,1936,"California"
"fsa1998021914/PP","Lange","People As Such","Old time Chinaman of the type that originally followed the crops in California. ",6067,"Sacramento","Sacramento","thumb/0500/0506/8b29888_150px.jpg","1936-11",11,1936,"California"
"fsa1998021916/PP","Lange","People As Such","The day after election. Oakland, California. November 12, 1936",6001,"Alameda","Oakland","thumb/0500/0506/8b29889_150px.jpg","1936-11",11,1936,"California"
"fsa1998021917/PP","Lange","Organized Society","Weighers&#39; and warehousemens&#39; union headquarters. Oakland, California",6001,"Alameda","Oakland","thumb/0500/0506/8b29890_150px.jpg","1936-11",11,1936,"California"
"fsa1998021918/PP","Lange","Organized Society","Opening of union cafe. Oakland, California. Photograph made day after 1936 Presi",6001,"Alameda","Oakland","thumb/0500/0506/8b29891_150px.jpg","1936-11",11,1936,"California"
"fsa1998021919/PP","Lange","Cities and Towns","Company housing for cotton workers near Corcoran, California",6031,"King","Corcoran","thumb/0500/0506/8b29892_150px.jpg","1936-11",11,1936,"California"
"fsa1998021920/PP","Lange","Cities and Towns","Company housing for cotton workers near Corcoran, California",6031,"King","Corcoran","thumb/0500/0506/8b29893_150px.jpg","1936-11",11,1936,"California"
"fsa1998021921/PP","Lange","People As Such","Mexican children playing in ditch which runs through company cotton camp near Co",6031,"King","Corcoran","thumb/0500/0506/3c30915_150px.jpg","1936-11",11,1936,"California"
"fsa1998021922/PP","Lange","Homes and Living Conditions","Housing for migratory cotton workers five miles north of Corcoran, California. T",6031,"King","Corcoran","thumb/0500/0506/8b29895_150px.jpg","1936-11",11,1936,"California"
"fsa1998021923/PP","Lange","Homes and Living Conditions","Housing for migratory workers in cotton, five miles north of Corcoran, Californi",6031,"King","Corcoran","thumb/0500/0506/8b29896_150px.jpg","1936-11",11,1936,"California"
"fsa1998021924/PP","Lange","Cities and Towns","Company housing for cotton workers near Corcoran, California",6031,"King","Corcoran","thumb/0500/0506/8b29897_150px.jpg","1936-11",11,1936,"California"
"fsa1998021961/PP","Lange","Homes and Living Conditions","Squatters&#39; camp near Farmersville. Tulare County, California",6107,"Tulare","Farmersville","thumb/0500/0506/8b29933_150px.jpg","1936-11",11,1936,"California"
"fsa1998021963/PP","Lange","People As Such","Son of cotton picker living in squatters&#39; camp near Farmersville, California",6107,"Tulare","Farmersville","thumb/0500/0506/8b29935_150px.jpg","1936-11",11,1936,"California"
"fsa1998021965/PP","Lange","Homes and Living Conditions","Migratory workers&#39; &quot;kitchen&quot; near Shafter. Kern County, California",6029,"Kern","Shafter","thumb/0500/0506/8b29937_150px.jpg","1936-11",11,1936,"California"
"fsa1998021966/PP","Lange","Homes and Living Conditions","Wife and child of migrant worker, encamped near Winters, California. This is a p",6113,"Yolo","Winters","thumb/0500/0506/8b38524_150px.jpg","1936-11",11,1936,"California"
"fsa1998021967/PP","Lange","Homes and Living Conditions","Awaiting the opening of orange picking season. Migrant camp near Porterville, Ca",6107,"Tulare","Porterville","thumb/0500/0506/8b38525_150px.jpg","1936-11",11,1936,"California"
"fsa1998021968/PP","Lange","People As Such","1936 drought refugee from Polk, Missouri. Awaiting the opening of orange picking",6107,"Tulare","Porterville","thumb/0500/0506/8b29938_150px.jpg","1936-11",11,1936,"California"
"fsa1998021972/PP","Lange","People As Such","1936 drought refugee from Polk, Missouri. Awaiting the opening of orange picking",6107,"Tulare","Porterville","thumb/0500/0506/8b29940_150px.jpg","1936-11",11,1936,"California"
"fsa2000000763/PP","Lange","Homes and Living Conditions","Privy in cheap migratory camp. San Joaquin Valley, California",6077,"San Joaquin Valley","","thumb/0560/0568/8b31629_150px.jpg","1936-11",11,1936,"California"
"fsa2000000764/PP","Lange","Homes and Living Conditions","Water supply. Migratory camp for cotton pickers. San Joaquin Valley, California.",6077,"San Joaquin Valley","","thumb/0560/0568/8b38615_150px.jpg","1936-11",11,1936,"California"
"fsa2000000766/PP","Lange","People As Such","Aged woman from Oklahoma. Kern County migrant camp, California",6029,"Kern","","thumb/0560/0568/8b31631_150px.jpg","1936-11",11,1936,"California"
"fsa2000000767/PP","Lange","People As Such","Aged woman with three of her twenty-two grandchildren, Kern county migrant camp,",6029,"Kern","","thumb/0560/0568/8b31632_150px.jpg","1936-11",11,1936,"California"
"fsa2000000769/PP","Lange","Organized Society","View of Kern County migrant camp. California",6029,"Kern","","thumb/0560/0568/8b31634_150px.jpg","1936-11",11,1936,"California"
"fsa2000000770/PP","Lange","Organized Society","View of Kern County migrant camp. California",6029,"Kern","","thumb/0560/0568/8b31635_150px.jpg","1936-11",11,1936,"California"
"fsa2000000773/PP","Lange","Cities and Towns","Company housing for Mexican cotton pickers, showing the San Joaquin Valley in th",6031,"King","Corcoran","thumb/0560/0568/8b31637_150px.jpg","1936-11",11,1936,"California"
"fsa2000000777/PP","Lange","Work","Building an auto trailer in a squatter camp. Outskirts of Bakersfield, Californi",6029,"Kern","Bakersfield","thumb/0560/0568/8b38616_150px.jpg","1936-11",11,1936,"California"
"fsa2000000781/PP","Lange","Organized Society","Scene in railroad yard. Sacramento, California",6067,"Sacremento","Sacramento","thumb/0560/0569/8b31643_150px.jpg","1936-11",11,1936,"California"
"fsa2000000783/PP","Lange","Organized Society","On the sun side of the shed. Transient men, San Francisco, California",6075,"San Francisco","San Francisco","thumb/0560/0569/8b31644_150px.jpg","1936-11",11,1936,"California"
"fsa2000000789/PP","Lange","People As Such","Four families, three of them related with fifteen children, from the Dust Bowl i",6025,"Imperial","Calipatria","thumb/0560/0569/8b31649_150px.jpg","1937-03","03",1937,"California"
"fsa2000000793/PP","Lange","People As Such","Missouri family of five, seven months from the drought area, on U.S. Highway 99 ",6077,"San Joaquin","Tracy","thumb/0560/0569/8b31651_150px.jpg","1937-02","02",1937,"California"
"fsa2000000794/PP","Lange","People As Such","Oklahoma sharecropper and family entering California. Stalled on the desert near",6065,"Riverside","Indio","thumb/0560/0569/8b31652_150px.jpg","1937-02","02",1937,"California"
"fsa2000000795/PP","Lange","People As Such","Migrant agricultural worker. Near Holtville, California",6025,"Imperial","Holtville","thumb/0560/0569/8b31653_150px.jpg","1937-02","02",1937,"California"
"fsa2000000799/PP","Lange","Homes and Living Conditions","Refugee families near Holtville, California",6025,"Imperial","Holtville","thumb/0560/0569/8b38619_150px.jpg","1937-02","02",1937,"California"
"fsa2000000800/PP","Lange","Transportation","Texan refugees&#39; car. They are seeking work in the carrot fields of the Coach",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31657_150px.jpg","1937-02","02",1937,"California"
"fsa2000000801/PP","Lange","People As Such","Calipatria (vicinity), California. Native of Indiana in a migratory labor contra",6025,"Imperial","Calipatria","thumb/0560/0569/8b31658_150px.jpg","1937-02","02",1937,"California"
"fsa2000000807/PP","Lange","Homes and Living Conditions","Forty families of drought and depression refugees camped by the roadside beside ",6025,"Imperial","Calipatria","thumb/0560/0569/8b31664_150px.jpg","1937-02","02",1937,"California"
"fsa2000000811/PP","Lange","Work","Capped cantaloupe. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31668_150px.jpg","1937-03","03",1937,"California"
"fsa2000000812/PP","Lange","Work","Capped cantaloupe. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31669_150px.jpg","1937-03","03",1937,"California"
"fsa2000000814/PP","Lange","Homes and Living Conditions","Housing typical of that afforded Mexican field workers of the Imperial Valley. T",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31671_150px.jpg","1937-03","03",1937,"California"
"fsa2000000816/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31673_150px.jpg","1937-03","03",1937,"California"
"fsa2000000817/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31673_150px.jpg","1937-02","02",1937,"California"
"fsa2000000818/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31673_150px.jpg","1937-02","02",1937,"California"
"fsa2000000819/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31673_150px.jpg","1937-02","02",1937,"California"
"fsa2000000820/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31673_150px.jpg","1937-02","02",1937,"California"
"fsa2000000821/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31673_150px.jpg","1937-02","02",1937,"California"
"fsa2000000822/PP","Lange","Work","Date palms. Coachella Valley, California",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31674_150px.jpg","1937-02","02",1937,"California"
"fsa2000000823/PP","Lange","Work","Laguna Dam. The All American Canal, when completed, will extend desert land to c",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31675_150px.jpg","1937-02","02",1937,"California"
"fsa2000000824/PP","Lange","Organized Society","Unemployed men sitting on the sunny side of the San Francisco Public Library. Ca",6075,"San Francisco","San Francisco","thumb/0560/0569/8b31676_150px.jpg","1937-02","02",1937,"California"
"fsa2000000833/PP","Lange","Organized Society","&quot;Skid Row.&quot; Howard Street, San Francisco, California",6075,"San Francisco","San Francisco","thumb/0560/0569/3c22714_150px.jpg","1937-02","02",1937,"California"
"fsa2000000834/PP","Lange","Organized Society","&quot;Skid Row.&quot; Howard Street, San Francisco, California",6075,"San Francisco","San Francisco","thumb/0560/0569/3c22714_150px.jpg","1937-02","02",1937,"California"
"fsa2000000835/PP","Lange","Organized Society","&quot;Skid Row.&quot; Howard Street, San Francisco, California",6075,"San Francisco","San Francisco","thumb/0560/0569/8b31682_150px.jpg","1937-02","02",1937,"California"
"fsa2000000837/PP","Lange","Organized Society","Howard Street, called &quot;Skid Row,&quot; the street of the unemployed in San ",6075,"San Francisco","San Francisco","thumb/0560/0569/8b31684_150px.jpg","1937-02","02",1937,"California"
"fsa2000000841/PP","Lange","Organized Society","Scene along &quot;Skid Row.&quot; Howard Street, San Francisco, California",6075,"San Francisco","San Francisco","thumb/0560/0569/8b31688_150px.jpg","1937-02","02",1937,"California"
"fsa2000000844/PP","Lange","Organized Society","Howard Street in San Francisco, known as &quot;Skid Row,&quot; the district of t",6075,"San Francisco","San Francisco","thumb/0560/0569/3a00970_150px.jpg","1937-02","02",1937,"California"
"fsa2000000851/PP","Lange","Work","Irrigator in brushed and capped cantaloupe field. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31695_150px.jpg","1937-03","03",1937,"California"
"fsa2000000852/PP","Lange","Work","One of a Mexican field gang of migratory laborers thinning and weeding cantaloup",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31696_150px.jpg","1937-03","03",1937,"California"
"fsa2000000853/PP","Lange","Work","Mexican gang of migratory laborers under a Japanese field boss. These men are th",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31697_150px.jpg","1937-03","03",1937,"California"
"fsa2000000854/PP","Lange","Work","Mexican gang of migratory laborers under a Japanese field boss. These men are th",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31698_150px.jpg","1937-03","03",1937,"California"
"fsa2000000856/PP","Lange","Work","Desert agriculture. Brushed chili field. Replanting chili plants on a Japanese-o",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31701_150px.jpg","1937-03","03",1937,"California"
"fsa2000000859/PP","Lange","Work","One of a Mexican gang of migratory laborers thinning and weeding cantaloupe plan",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31704_150px.jpg","1937-03","03",1937,"California"
"fsa2000000867/PP","Lange","Work","Lettuce cutting in the Imperial Valley, California. A Filipino crew of fifty-fiv",6025,"Imperial","","thumb/0560/0569/8b31711_150px.jpg","1937-02","02",1937,"California"
"fsa2000000868/PP","Lange","Work","Lettuce cutting in the Imperial Valley, California. A Filipino crew of fifty-fiv",6025,"Imperial","","thumb/0560/0569/8b31712_150px.jpg","1937-02","02",1937,"California"
"fsa2000000875/PP","Lange","Work","Filipino crew of fifty-five boys cutting and loading lettuce. Imperial Valley, C",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31718_150px.jpg","1937-02","02",1937,"California"
"fsa2000000876/PP","Lange","Work","Filipino crew of fifty-five boys cutting and loading lettuce. Imperial Valley, C",6025,"Imperial","Imperial Valley","thumb/0560/0569/8b31719_150px.jpg","1937-02","02",1937,"California"
"fsa2000000877/PP","Lange","Work","Carrot pullers from Texas, Oklahoma, Arkansas, Missouri and Mexico. Coachella Va",6065,"Riverside","Coachella Valley","thumb/0560/0569/8b31720_150px.jpg","1937-03","03",1937,"California"
"fsa2000000881/PP","Lange","Organized Society","Striking longshoremen during the waterfront strike in San Francisco, California",6075,"San Francisco","San Francisco","thumb/0560/0569/8b31724_150px.jpg","1937-03","03",1937,"California"
"fsa2000000883/PP","Lange","Organized Society","A political problem before the voters of San Francisco, California",6075,"San Francisco","San Francisco","thumb/0570/0570/3c30358_150px.jpg","1937-03","03",1937,"California"
"fsa2000000884/PP","Lange","Organized Society","Signboards in San Francisco, California",6075,"San Francisco","San Francisco","thumb/0570/0570/8b31727_150px.jpg","1937-03","03",1937,"California"
"fsa2000000887/PP","Lange","People As Such","Children of migratory carrot pullers, Mexicans. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31730_150px.jpg","1937-03","03",1937,"California"
"fsa2000000888/PP","Lange","People As Such","Children of migratory carrot pullers, Mexicans. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31731_150px.jpg","1937-03","03",1937,"California"
"fsa2000000891/PP","Lange","Homes and Living Conditions","California migratory farm laborers, drought refugees from Oklahoma, camped in th",6025,"Imperial","Brawley","thumb/0570/0570/8b31734_150px.jpg","1937-02","02",1937,"California"
"fsa2000000894/PP","Lange","People As Such","A former tenant farmer from Texas now working in California as a pea picker. Nip",6079,"San Luis Obispo","Nipomo","thumb/0570/0570/8b31737_150px.jpg","1937-03","03",1937,"California"
"fsa2000000895/PP","Lange","People As Such","A former tenant farmer from Texas now working in California as a pea picker. Nip",6079,"San Luis Obispo","Nipomo","thumb/0570/0570/8b31738_150px.jpg","1937-03","03",1937,"California"
"fsa2000000897/PP","Lange","The Land","Real estate sign along the highway on which hundreds of drought refugees and mig",6065,"Riverside","","thumb/0570/0570/8b31739_150px.jpg","1937-03","03",1937,"California"
"fsa2000000905/PP","Lange","Homes and Living Conditions","Drought refugees in California near Holtville",6025,"Imperial","Holtville","thumb/0570/0570/8b31746_150px.jpg","1937-03","03",1937,"California"
"fsa2000000907/PP","Lange","Homes and Living Conditions","Refugee families encamped near Holtville, California",6025,"Imperial","Holtville","thumb/0570/0570/8b31747_150px.jpg","1937-03","03",1937,"California"
"fsa2000000911/PP","Lange","People As Such","Family of four to be returned to Oklahoma by the Relief Administration. &quot;Th",6025,"Imperial","Holtville","thumb/0570/0570/8b31751_150px.jpg","1937-03","03",1937,"California"
"fsa2000000912/PP","Lange","Homes and Living Conditions","Camp of migratory workers. Imperial County, California",6025,"Imperial","","thumb/0570/0570/8b31752_150px.jpg","1937-03","03",1937,"California"
"fsa2000000913/PP","Lange","Homes and Living Conditions","Camp of migratory agricultural workers. Imperial County, California",6025,"Imperial","","thumb/0570/0570/8b31753_150px.jpg","1937-03","03",1937,"California"
"fsa2000000914/PP","Lange","Homes and Living Conditions","Camp of migratory agricultural workers. Imperial County, California",6025,"Imperial","","thumb/0570/0570/8b31754_150px.jpg","1937-03","03",1937,"California"
"fsa2000000916/PP","Lange","Homes and Living Conditions","Auto camp north of Calipatria, California. Approximately eighty families from th",6025,"Imperial","Calipatria","thumb/0570/0570/8b31756_150px.jpg","1937-03","03",1937,"California"
"fsa2000000917/PP","Lange","Homes and Living Conditions","Auto camp north of Calipatria, California. Approximately eighty families from th",6025,"Imperial","Calipatria","thumb/0570/0570/8b31757_150px.jpg","1937-03","03",1937,"California"
"fsa2000000918/PP","Lange","Homes and Living Conditions","Auto camp north of Calipatria, California. Approximately eighty families from th",6025,"Imperial","Calipatria","thumb/0570/0570/8b31758_150px.jpg","1937-03","03",1937,"California"
"fsa2000000919/PP","Lange","Homes and Living Conditions","Auto camp north of Calipatria, California. Approximately eighty families from th",6025,"Imperial","Calipatria","thumb/0570/0570/8b31759_150px.jpg","1937-03","03",1937,"California"
"fsa2000000922/PP","Lange","Homes and Living Conditions","Squatter camp on county road near Calipatria. Forty families from the dust bowl ",6025,"Imperial","Calipatria","thumb/0570/0570/8b31762_150px.jpg","1937-03","03",1937,"California"
"fsa2000000923/PP","Lange","Homes and Living Conditions","Squatter camp on county road near Calipatria. Forty families from the dust bowl ",6025,"Imperial","Calipatria","thumb/0570/0570/8b38629_150px.jpg","1937-03","03",1937,"California"
"fsa2000000926/PP","Lange","Organized Society","Waiting for the semimonthly relief checks at Calipatria, Imperial Valley, Califo",6025,"Imperial","Calipatria","thumb/0570/0570/8b31765_150px.jpg","1937-03","03",1937,"California"
"fsa2000000928/PP","Lange","Organized Society","Waiting for the semi-monthly relief checks at Calipatria, California",6025,"Imperial","Calipatria","thumb/0570/0570/8b38665_150px.jpg","1937-03","03",1937,"California"
"fsa2000000930/PP","Lange","Organized Society","Waiting for relief checks. Calipatria, California",6025,"Imperial","Calipatria","thumb/0570/0570/8b31768_150px.jpg","1937-03","03",1937,"California"
"fsa2000000936/PP","Lange","Homes and Living Conditions","Water supply: an open settling basin from the irrigation ditch in a California s",6025,"Imperial","Calipatria","thumb/0570/0570/8b31774_150px.jpg","1937-03","03",1937,"California"
"fsa2000000938/PP","Lange","Homes and Living Conditions","Water supply: an open settling basin from the irrigation ditch in a California s",6025,"Imperial","Calipatria","thumb/0570/0570/8b31776_150px.jpg","1937-03","03",1937,"California"
"fsa2000000940/PP","Lange","Homes and Living Conditions","Ditch bank housing for Mexican field workers. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31778_150px.jpg","1937-03","03",1937,"California"
"fsa2000000944/PP","Lange","Homes and Living Conditions","Ditch bank housing for Mexican field workers. Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/3c30914_150px.jpg","1937-03","03",1937,"California"
"fsa2000000945/PP","Lange","People As Such","Dust bowl refugee from Chickasaw, Oklahoma. Imperial Valley, California. &quot;B",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31783_150px.jpg","1937-03","03",1937,"California"
"fsa2000000946/PP","Lange","Homes and Living Conditions","The incessant struggle for cleanliness amid dust and dirt. Imperial County, Cali",6025,"Imperial","","thumb/0570/0570/8b31784_150px.jpg","1937-03","03",1937,"California"
"fsa2000000963/PP","Lange","People As Such","Young Oklahoma mother, age eighteen, penniless, stranded in California. Imperial",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31802_150px.jpg","1937-03","03",1937,"California"
"fsa2000000968/PP","Lange","Organized Society","Drought refugees waiting for relief checks. Calipatria, California",6025,"Imperial","Calipatria","thumb/0570/0570/8b31807_150px.jpg","1937-02","02",1937,"California"
"fsa2000000969/PP","Lange","People As Such","Oklahomans now working or looking for work in the pea harvests of California. Ou",6025,"Imperial","Calipatria","thumb/0570/0570/8b31808_150px.jpg","1937-03","03",1937,"California"
"fsa2000000970/PP","Lange","Homes and Living Conditions","Drought refugee living in a ditch bank camp. Imperial County, California",6025,"Imperial","","thumb/0570/0570/8b31809_150px.jpg","1937-03","03",1937,"California"
"fsa2000000972/PP","Lange","People As Such","Unemployed family from the Rio Grande Valley, Texas, camped on a river bottom ne",6025,"Imperial","Holtville","thumb/0570/0570/8b31811_150px.jpg","1937-03","03",1937,"California"
"fsa2000000973/PP","Lange","People As Such","Ex-tenant farmer on relief grant in the Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31812_150px.jpg","1937-03","03",1937,"California"
"fsa2000000974/PP","Lange","People As Such","Ex-tenant farmer on relief grant in the Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31812_150px.jpg","1937-03","03",1937,"California"
"fsa2000000975/PP","Lange","People As Such","Ex-tenant farmer on relief grant in the Imperial Valley, California",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31813_150px.jpg","1937-03","03",1937,"California"
"fsa2000000976/PP","Lange","People As Such","Drought and depression refugee from Oklahoma now working in the pea fields of Ca",6025,"Imperial","Imperial Valley","thumb/0570/0570/8b31814_150px.jpg","1937-03","03",1937,"California"
"fsa2000000977/PP","Lange","People As Such","Texas ex-farmer, now a migratory agricultural worker in Nipomo, California",6079,"San Luis Obispo","Nipomo","thumb/0570/0570/8b31815_150px.jpg","1937-03","03",1937,"California"
"fsa2000001016/PP","Lange","Homes and Living Conditions","Migratory Mexican field worker&#39;s home on the edge of a frozen pea field. Imp",6025,"Imperial","Imperial Valley","thumb/0570/0571/3c18228_150px.jpg","1937-03","03",1937,"California"
"fsa2000001017/PP","Lange","Transportation","White section gang near King City, California. Before the depression this work w",6053,"Monterey","King City","thumb/0570/0571/8b31851_150px.jpg","1937-03","03",1937,"California"
"fsa2000001018/PP","Lange","Transportation","White section gang near King City, California. Before the depression this work w",6053,"Monterey","King City","thumb/0570/0571/8b31852_150px.jpg","1937-03","03",1937,"California"
"fsa2000001024/PP","Lange","Homes and Living Conditions","Migratory field worker&#39;s home on the edge of a pea field. The family lived h",6025,"Imperial","Imperial Valley","thumb/0570/0571/8b31858_150px.jpg","1937-03","03",1937,"California"
"fsa2000001030/PP","Lange","People As Such","Missouri family of five, seven months from the drought area. &quot;Broke, baby s",6077,"San Joaquin","Tracy","thumb/0570/0571/8b31864_150px.jpg","1937-02","02",1937,"California"
"fsa2000001031/PP","Lange","Transportation","Tracy (vicinity), California. Missouri family of five who are seven months from ",6077,"San Joaquin","Tracy","thumb/0570/0571/3b46145_150px.jpg","1937-02","02",1937,"California"
"fsa2000001033/PP","Lange","Transportation","Tracy (vicinity), California. U.S. Highway 99. Missouri family of five, seven mo",6077,"San Joaquin","Tracy","thumb/0570/0571/8b31866_150px.jpg","1937-02","02",1937,"California"
"fsa2000001036/PP","Lange","People As Such","Children of migratory Mexican field workers. The older one helps tie carrots in ",6065,"Riverside","Coachella Valley","thumb/0570/0571/8b31867_150px.jpg","1937-02","02",1937,"California"
"fsa2000001039/PP","Lange","Homes and Living Conditions","Unsanitary privy in potato pickers&#39; camp near Shafter, California",6029,"Kern","Shafter","thumb/0570/0571/8b31869_150px.jpg","1937-05","05",1937,"California"
"fsa2000001040/PP","Lange","People As Such","California pea pickers returning to camp after a day&#39;s work in the field. Ne",6085,"Santa Clara","Santa Clara","thumb/0570/0571/8b31870_150px.jpg","1937-04","04",1937,"California"
"fsa2000001041/PP","Lange","Work","Truck being loaded as it goes down the rows. The pickers pick the potatoes from ",6029,"Kern","Shafter","thumb/0570/0571/8b31871_150px.jpg","1937-05","05",1937,"California"
"fsa2000001043/PP","Lange","People As Such","Family of ex-sharecroppers from Arkansas, near Little Rock, on California highwa",6029,"Kern","","thumb/0570/0571/8b31873_150px.jpg","1937-05","05",1937,"California"
"fsa2000001044/PP","Lange","People As Such","Family of drought refugees on U.S. 99 near Bakersfield, California",6029,"Kern","Bakersfield","thumb/0570/0571/8b31874_150px.jpg","1937-05","05",1937,"California"
"fsa2000001045/PP","Lange","People As Such","Drought refugee children on U.S. 99 near Bakersfield, California",6029,"Kern","Bakersfield","thumb/0570/0571/8b31875_150px.jpg","1937-05","05",1937,"California"
"fsa2000001048/PP","Lange","People As Such","Oklahomans in potato pickers&#39; camp near Shafter, California",6029,"Kern","Shafter","thumb/0570/0571/8b31878_150px.jpg","1937-05","05",1937,"California"
"fsa2000001049/PP","Lange","Itellectual and Creative Activity","High school showing part of Federal Art Project mural decoration. Fullerton, Cal",6059,"Orange","Fullerton","thumb/0570/0571/8b31879_150px.jpg","1937-05","05",1937,"California"
"fsa2000001053/PP","Lange","People As Such","Children from Chickasaw, Oklahoma, in a potato pickers&#39; camp near Shafter, C",6029,"Kern","Shafter","thumb/0570/0571/8b31882_150px.jpg","1937-05","05",1937,"California"
"fsa2000001054/PP","Lange","Work","Potato truck in the field near Shafter, California",6029,"Kern","Shafter","thumb/0570/0571/8b31883_150px.jpg","1937-05","05",1937,"California"
"fsa2000001055/PP","Lange","Work","Loading a potato truck as it goes down the rows, Near Shafter, California",6029,"Kern","Shafter","thumb/0570/0571/8b31884_150px.jpg","1937-05","05",1937,"California"
"fsa2000001056/PP","Lange","Work","Mechanical potato digger near Shafter, California",6029,"Kern","Shafter","thumb/0570/0571/8b31885_150px.jpg","1937-05","05",1937,"California"
"fsa2000001057/PP","Lange","Work","Sign on U.S. Highway 99 near Shafter, California",6029,"Kern","Shafter","thumb/0570/0571/8b31886_150px.jpg","1937-05","05",1937,"California"
"fsa2000001058/PP","Lange","Work","Near Shafter, California. Potatoes are dug by machines and strewn on the ground ",6029,"Kern","Shafter","thumb/0570/0571/8b31887_150px.jpg","1937-05","05",1937,"California"
